,0,1,2,3,4,5
0,순위,영화,세계 흥행 수익,북미 흥행 수익,북미 %,제작비
1,1,아바타 (2009),"$2,847,246,203","$760,507,625",26.71%,"$237,000,000"
2,2,어벤저스: 엔드게임 (2019),"$2,797,501,328","$858,373,000",30.68%,"$356,000,000"
3,3,타이타닉 (1997),"$2,201,647,264","$659,363,944",29.95%,"$200,000,000"
4,4,스타 워즈: 깨어난 포스 (2015),"$2,068,223,624","$936,662,225",45.29%,"$245,000,000"
5,5,어벤저스: 인피니티 워 (2018),"$2,048,709,917","$678,815,482",33.13%,"$321,000,000"
6,6,스파이더맨: 노 웨이 홈 (2021),"$1,835,421,947","$775,421,947",42.25%,"$200,000,000"
7,7,쥬라기 월드 (2015),"$1,670,400,637","$652,270,625",39.05%,"$150,000,000"
8,8,라이온 킹 (2019),"$1,656,943,394","$543,638,043",32.81%,"$260,000,000"
9,9,어벤저스 (2012),"$1,518,594,910","$623,357,910",41.05%,"$220,000,000"
10,10,분노의 질주: 더 세븐 (2015),"$1,515,047,671","$353,007,020",23.30%,"$190,000,000"
11,11,겨울왕국 2 (2019),"$1,405,575,975","$466,850,574",33.21%,"$150,000,000"
12,12,어벤저스: 에이지 오브 울트론 (2015),"$1,388,522,000","$455,222,000",32.78%,"$250,000,000"
13,13,블랙 팬서 (2018),"$1,347,071,259","$700,059,566",51.97%,"$200,000,000"
14,14,해리 포터와 죽음의 성물 2 (2011),"$1,341,511,219","$381,011,219",28.40%,"$125,000,000"
15,15,스타 워즈: 라스트 제다이 (2017),"$1,332,539,889","$620,181,382",46.54%,"$317,000,000"
16,16,쥬라기 월드: 폴른 킹덤 (2018),"$1,309,484,461","$417,719,760",31.90%,"$170,000,000"
17,17,겨울왕국 (2013),"$1,274,219,009","$400,738,009",31.45%,"$150,000,000"
18,18,미녀와 야수 (2017),"$1,263,521,126","$504,014,165",39.89%,"$160,000,000"
19,19,인크레더블 2 (2018),"$1,242,770,554","$608,581,744",48.97%,"$200,000,000"
20,20,분노의 질주: 더 익스트림 (2017),"$1,236,005,118","$226,008,385",18.29%,"$250,000,000"
21,21,아이언맨 3 (2013),"$1,215,439,994","$409,013,994",33.65%,"$200,000,000"
22,22,미니언즈 (2015),"$1,159,398,397","$336,045,770",28.98%,"$74,000,000"
23,23,캡틴 아메리카: 시빌 워 (2016),"$1,153,304,495","$408,084,349",35.38%,"$250,000,000"
24,24,아쿠아맨 (2018),"$1,148,061,807","$335,061,807",29.18%,"$160,000,000"
25,25,반지의 제왕: 왕의 귀환 (2003),"$1,142,219,401","$377,845,905",33.08%,"$94,000,000"
26,26,스파이더맨: 파 프롬 홈 (2019),"$1,131,927,996","$390,532,085",34.50%,"$160,000,000"
27,27,캡틴 마블 (2019),"$1,128,274,794","$426,829,839",37.83%,"$160,000,000"
28,28,트랜스포머 3 (2011),"$1,123,794,079","$352,390,543",31.36%,"$195,000,000"
29,29,007 스카이폴 (2012),"$1,108,561,013","$304,360,277",27.46%,"$20,000,000"
30,30,트랜스포머: 사라진 시대 (2014),"$1,104,054,072","$245,439,076",22.23%,"$210,000,000"
31,31,다크 나이트 라이즈 (2012),"$1,081,041,287","$448,139,099",41.45%,"$250,000,000"
32,32,조커 (2019),"$1,074,251,311","$335,451,311",31.23%,"$55,000,000"
33,33,스타 워즈 에피소드 9: 라이즈 오브 스카이워커 (2019),"$1,074,144,248","$515,202,542",47.96%,"$200,000,000"
34,34,토이스토리 4 (2019),"$1,073,394,593","$434,038,008",40.44%,"$200,000,000"
35,35,토이스토리 3 (2010),"$1,066,969,703","$415,004,880",38.90%,"$200,000,000"
36,36,캐리비안의 해적: 망자의 함 (2006),"$1,066,179,725","$423,315,812",39.70%,"$225,000,000"
37,37,라이온 킹 (1994),"$1,063,611,805","$422,783,777",39.75%,"$45,000,000"
38,38,로그원: 스타 워즈 스토리 (2016),"$1,055,344,955","$531,540,496",50.37%,"$200,000,000"
39,39,알라딘 (2019),"$1,050,693,953","$355,559,216",33.84%,"$183,000,000"
40,40,캐리비안의 해적: 낯선 조류 (2011),"$1,045,713,802","$241,071,802",23.05%,"$250,000,000"
41,41,슈퍼배드 3 (2017),"$1,034,799,409","$264,624,300",25.57%,"$80,000,000"
42,42,쥬라기 공원 (1993),"$1,030,314,141","$402,828,120",39.10%,"$63,000,000"
43,43,도리를 찾아서 (2016),"$1,028,570,889","$486,295,561",47.28%,"$200,000,000"
44,44,스타 워즈 에피소드 1: 보이지 않는 위험 (1999),"$1,027,044,677","$474,544,677",46.20%,"$115,000,000"
45,45,이상한 나라의 앨리스 (2010),"$1,025,467,110","$334,191,110",32.59%,"$200,000,000"
46,46,주토피아 (2016),"$1,023,784,195","$341,268,248",33.33%,"$150,000,000"
47,47,해리 포터와 마법사의 돌 (2001),"$1,017,612,417","$318,087,620",31.26%,"$125,000,000"
48,48,호빗: 뜻밖의 여정 (2012),"$1,017,003,568","$303,003,568",29.79%,"$250,000,000"
49,49,다크 나이트 (2008),"$1,004,558,444","$534,858,444",53.24%,"$185,000,000"
50,50,해리 포터와 죽음의 성물 1 (2010),"$976,920,103","$296,347,721",30.33%,"$150,000,000"
51,51,슈퍼배드 2 (2013),"$970,761,885","$368,061,265",37.91%,"$76,000,000"
